collected_at_utc,region,satellite_start,satellite_end,hcho_mean,aerosol_mean,fire_detection_pixels,surface_no2,pm2_5,pm10,temperature,humidity,wind,target_aqi_level,sampled_locations,hcho_image_count,aerosol_image_count,fire_image_count
2026-07-13T06:35:14.562088+00:00,India,2026-07-03,2026-07-10,0.000149,-0.456,54,3.25,18.99,47.68,33.37,52.0,4.81,2.75,4,99,99,7
2026-07-13T06:35:23.285935+00:00,Delhi,2026-07-03,2026-07-10,0.000272,-0.311,0,2.23,23.82,106.52,38.7,33.0,2.96,4.0,1,99,99,7
2026-07-13T06:35:38.665083+00:00,Punjab,2026-07-03,2026-07-10,0.000254,-0.466,6,3.21,62.29,156.5,39.21,29.33,0.98,4.0,3,99,99,7
2026-07-13T06:35:58.033424+00:00,Haryana,2026-07-03,2026-07-10,0.000254,-0.517,0,1.59,26.46,121.32,38.28,34.0,3.85,4.0,3,99,99,7
2026-07-13T06:36:14.672591+00:00,Uttar Pradesh,2026-07-03,2026-07-10,0.000195,-0.439,0,2.21,15.28,38.27,38.02,32.0,4.77,2.0,3,99,99,7
2026-07-13T06:36:29.052385+00:00,Bihar,2026-07-03,2026-07-10,0.000155,-0.456,0,3.17,14.04,19.74,35.76,42.33,3.59,2.0,3,99,99,7
